gnd,pctile,count,hh_inc,hh_inc_age40,le_agg,le_raceadj,sd_le_agg,sd_le_raceadj
F,1,7098335,432.7820435,383.3254395,78.52627563,78.78383636,0.052537858,0.062369585
F,2,7120033,1919.115723,1681.780396,80.29138184,80.46240997,0.056186546,0.064146481
F,3,7131115,3718.215576,3344.087402,81.04364777,81.16809845,0.056927446,0.065437168
F,4,7135812,5466.638672,5051.834473,81.43418121,81.5306778,0.058088601,0.065256
F,5,7140055,7089.428711,6671.778809,81.54851532,81.62885284,0.058224965,0.06485448
F,6,7141666,8570.267578,8166.425293,81.60400391,81.6733551,0.062758289,0.068603188
F,7,7144768,9890.650391,9424.541016,81.64260864,81.70304108,0.062607594,0.065750666
F,8,7146577,11141.5791,10572.95996,81.73978424,81.78936768,0.062888473,0.066356823
F,9,7146867,12367.86035,11746.70117,81.70617676,81.74834442,0.065673351,0.067713179
F,10,7149543,13525.56445,12807.21484,81.71557617,81.75416565,0.065104105,0.066931881
F,11,7152938,14617.2041,13744.70508,81.98536682,82.01464081,0.065148622,0.065489903
F,12,7154548,15691.66797,14713.06152,82.13082123,82.15666199,0.066605479,0.067595489
F,13,7157847,16747.19922,15697.6123,82.32649231,82.35177612,0.06498453,0.065540999
F,14,7156139,17777.51367,16666.30664,82.30405426,82.33271027,0.068551518,0.068234429
F,15,7158253,18788.19531,17619.52734,82.43751526,82.46440125,0.06835486,0.068344899
F,16,7161532,19787.16211,18571.47266,82.65927887,82.68599701,0.068762943,0.06854102
F,17,7161166,20778.54102,19529.72656,82.58758545,82.62068939,0.066445515,0.065953314
F,18,7162264,21764.9375,20496.84961,82.66159821,82.69638824,0.067712963,0.067553222
F,19,7163496,22747.81641,21463.75977,82.90882111,82.94355011,0.072300218,0.072543971
F,20,7164020,23728.00977,22430.04688,82.89080811,82.93057251,0.071053959,0.071046166
F,21,7166206,24707.00781,23392.875,82.95510864,83.00023651,0.0682007,0.067663737
F,22,7165714,25686.21094,24357.77148,83.00621796,83.05891418,0.070845023,0.070048429
F,23,7168507,26667.3457,25329.40039,83.0640564,83.1185379,0.071385451,0.07162001
F,24,7169326,27651.84375,26304.36719,83.21720123,83.26858521,0.071674615,0.071245715
F,25,7170463,28641.07617,27287.22852,83.29673004,83.34551239,0.070278287,0.070267126
F,26,7170053,29635.30078,28277.51172,83.32828522,83.37467194,0.070094287,0.070402756
F,27,7171977,30634.68359,29273.38281,83.38861847,83.43330383,0.069610551,0.069762997
F,28,7171183,31640.11328,30278.6543,83.49814606,83.54381561,0.067685038,0.067632481
F,29,7173317,32651.03906,31297.25586,83.67440796,83.71803284,0.070790917,0.071269192
F,30,7173991,33670.21484,32330.41992,83.78894806,83.8341217,0.072497897,0.072306469
F,31,7174613,34699.07031,33373.58203,83.7306366,83.78165436,0.073017932,0.073736459
F,32,7174328,35739.37109,34428.75,83.77597809,83.83187866,0.071797162,0.072117828
F,33,7175648,36792.66797,35503.70313,83.94545746,84.00048065,0.071803391,0.070634834
F,34,7176418,37859.22266,36596.88672,84.0173645,84.07321167,0.073114358,0.072457269
F,35,7175978,38941.52734,37713.23828,84.04746246,84.10332489,0.06894087,0.069832109
F,36,7176800,40036.58984,38847.09375,84.08940125,84.14759064,0.073011801,0.072950788
F,37,7179075,41145.95703,39999.72266,84.22423553,84.28125763,0.072912887,0.072126649
F,38,7178083,42272.97656,41173.94141,84.23233032,84.2911911,0.071608916,0.071283251
F,39,7179058,43414.04297,42373.55078,84.2223587,84.28256989,0.073542193,0.074258395
F,40,7180337,44570.66406,43592.00781,84.3937912,84.44799805,0.07316716,0.073399216
F,41,7180754,45744.07031,44826.73047,84.46403503,84.51651001,0.073402829,0.074280933
F,42,7179590,46933.25781,46079.50781,84.41107941,84.46360779,0.071482964,0.072968096
F,43,7181920,48134.50781,47346.08203,84.5723114,84.62166595,0.073613629,0.074063055
F,44,7183456,49352.21875,48635.92188,84.76789856,84.81354523,0.077549174,0.077848271
F,45,7182868,50586.80469,49946.88281,84.67611694,84.7232666,0.074307717,0.074558944
F,46,7184363,51835.26953,51275.49609,84.72803497,84.77411652,0.071703508,0.073040389
F,47,7185013,53099.94922,52619.13672,84.95418549,84.99589539,0.072671369,0.072746068
F,48,7185198,54385.26563,53987.73047,84.94615936,84.98595428,0.07310804,0.074194245
F,49,7185826,55688.24219,55370.01172,84.95230103,84.99185181,0.072282836,0.072571032
F,50,7185479,57012.57031,56771.98828,84.98194122,85.01953125,0.075507693,0.077474602
F,51,7187061,58356.13281,58193.58203,84.95426941,84.99094391,0.073567182,0.074860297
F,52,7188234,59722.73047,59641.61328,85.16452789,85.19384003,0.074437894,0.076763071
F,53,7187661,61111.88281,61106.35547,85.11429596,85.14034271,0.075276665,0.07623551
F,54,7189317,62520.64844,62592.12891,85.2505188,85.26979828,0.074340314,0.075603351
F,55,7189237,63952.99609,64105.07031,85.32286835,85.33634949,0.073106609,0.076437384
F,56,7188319,65410.28516,65635.17969,85.27078247,85.27942657,0.074438438,0.078169554
F,57,7190406,66884.46094,67188.78125,85.5403595,85.54073334,0.075545132,0.078432649
F,58,7190737,68384.35938,68757.90625,85.49933624,85.49694061,0.07669577,0.080951296
F,59,7192821,69904.00781,70342.8125,85.6759491,85.67076874,0.07290636,0.077155776
F,60,7191546,71455.13281,71949.07031,85.55606079,85.5528183,0.078594521,0.081122644
F,61,7192115,73027.82031,73575.88281,85.50968933,85.50926971,0.076185703,0.081086963
F,62,7194018,74628.76563,75219.89844,85.835289,85.83172607,0.076721981,0.078386061
F,63,7194642,76259.90625,76884.73438,85.85445404,85.85235596,0.075229764,0.079364635
F,64,7194693,77924.13281,78575.29688,85.84163666,85.84072876,0.07912112,0.082119592
F,65,7195935,79622.69531,80298.05469,86.01387024,86.01161957,0.075991869,0.080214657
F,66,7197226,81359.60156,82049.05469,86.03634644,86.03427887,0.079185605,0.083462618
F,67,7195498,83142.28125,83829.9375,85.89328003,85.89186859,0.078440227,0.083916575
F,68,7196340,84964.02344,85645.48438,86.05336761,86.04820251,0.076987334,0.080445036
F,69,7197939,86831.67969,87497.34375,86.08531189,86.0752182,0.078496322,0.081901774
F,70,7197494,88753.94531,89397.57031,86.10092163,86.08427429,0.079006113,0.083084151
F,71,7199069,90726.92188,91344.29688,86.29118347,86.26161194,0.081767604,0.087103724
F,72,7198780,92764.19531,93339.44531,86.28436279,86.24523163,0.077819131,0.082109913
F,73,7199917,94865.54688,95386.4375,86.37716675,86.32736206,0.079708189,0.086800933
F,74,7200605,97040.10156,97496.57813,86.48074341,86.42301178,0.07852181,0.084627666
F,75,7200688,99292.9375,99673.65625,86.43927765,86.37174988,0.082708962,0.091110416
F,76,7201490,101633.6797,101935.9375,86.50870514,86.43219757,0.080905288,0.08928062
F,77,7202366,104071.4922,104284.4219,86.71143341,86.62679291,0.080886275,0.090709105
F,78,7202309,106624.5234,106732.2109,86.64941406,86.55947113,0.079684995,0.090228677
F,79,7203446,109306.4688,109295.4063,86.76000977,86.66506958,0.081438772,0.090803549
F,80,7203577,112141.2734,111987.7344,86.78320313,86.68518066,0.081351459,0.090282507
F,81,7204335,115151.2344,114832.4297,86.79889679,86.69694519,0.083180487,0.092909709
F,82,7204965,118362.7422,117849.4063,87.04837036,86.93963623,0.079447821,0.090883665
F,83,7205657,121807.6172,121080.7734,87.14579773,87.02871704,0.080393553,0.092728756
F,84,7207058,125520.7266,124567.0313,87.19319153,87.06565094,0.083568409,0.098230235
F,85,7207324,129572.0078,128336.8984,87.25797272,87.11875153,0.078216575,0.096020594
F,86,7208142,133992.4531,132453.3594,87.49895477,87.34877777,0.078987375,0.0962497
F,87,7209506,138842.6406,137000.1875,87.58575439,87.42834473,0.080382653,0.099497043
F,88,7209209,144239.0313,142026.2656,87.54346466,87.38314819,0.083378069,0.10282401
F,89,7209825,150285.3594,147688.1406,87.66357422,87.50238037,0.078524545,0.101216637
F,90,7209379,157146.4219,154137.1719,87.62001038,87.4574585,0.081141956,0.103407636
F,91,7211260,165094.3125,161546.5313,87.94865417,87.78797913,0.080756217,0.101050422
F,92,7211488,174413.25,170323.7344,87.98968506,87.82991791,0.07858818,0.098891191
F,93,7212394,185646.8281,180874.3906,88.17893219,88.02632141,0.07748159,0.100662537
F,94,7213189,199593.3906,193912.7969,88.18249512,88.04055786,0.082263976,0.101820737
F,95,7213729,217631.4063,210704.6563,88.42855835,88.30171967,0.07814683,0.099209704
F,96,7214680,242346.125,233412.5625,88.51548767,88.40836334,0.079773024,0.092569813
F,97,7215130,279176.4063,266539.3125,88.62095642,88.53287506,0.077472679,0.093915567
F,98,7214824,341872.375,321656.3438,88.53430939,88.46418762,0.081412837,0.098390244
F,99,7215914,477420.5625,437837.3438,88.66727448,88.61108398,0.079438992,0.094964854
F,100,7217115,1923274.5,1532600.625,88.91324615,88.87483978,0.077513881,0.08947885
M,1,6767752,356.2360535,284.1465759,72.37480927,72.74278259,0.042175848,0.057907503
M,2,6796273,1602.846558,1198.619873,74.22428131,74.49556732,0.045743242,0.056516465
M,3,6810846,3222.196777,2463.722168,75.25354004,75.45113373,0.047028929,0.055741057
M,4,6819310,4904.682617,3878.390869,75.69355011,75.83809662,0.048603296,0.055749863
M,5,6823613,6551.418457,5331.466309,75.92893982,76.03335571,0.051366013,0.056554839
M,6,6825662,8128.499512,6765.567383,76.10738373,76.18173981,0.051603757,0.054615978
M,7,6829004,9651.223633,8171.835449,76.23241425,76.28391266,0.051850908,0.055801414
M,8,6828386,11102.86426,9488.643555,76.15796661,76.19464111,0.05315331,0.055615064
M,9,6831289,12530.99707,10751.08789,76.32672882,76.34561157,0.052309062,0.05424162
M,10,6834092,13934.42871,12055.40918,76.37934113,76.38644409,0.053012628,0.055344515
M,11,6836389,15274.93164,13282.64648,76.46967316,76.46547699,0.049760699,0.052039262
M,12,6837379,16571.98633,14463.59473,76.57276917,76.56031036,0.051373709,0.053357419
M,13,6841654,17837.72656,15658.63281,76.76333618,76.74636841,0.051487539,0.05294089
M,14,6843245,19076.29297,16825.21875,76.84772491,76.83516693,0.053142522,0.054658793
M,15,6845643,20294.51172,17964.01367,77.00726318,76.99608612,0.052398238,0.05286555
M,16,6847732,21496.19336,19093.23633,77.11561584,77.10588074,0.053958651,0.054608751
