"Table 1: 100 Most Populated Commuting Zones, Ranked by Average Bottom Quartile Life Expectancy",,,,,
,,,,,
Rank ,Commuting,Commuting,Q1 Life Expectancy at Age 40 (Race-Adjusted),,
,Zone ID ,Zone Name,Mean,Men,Women
,,,,,
1,19400,"New York City, NY",81.8,79.5,84
2,38200,"Santa Barbara, CA",81.7,79.4,84
3,37500,"San Jose, CA",81.6,79.5,83.7
4,7000,"Miami, FL",81.2,78.3,84.2
5,38300,"Los Angeles, CA",81.1,79,83.2
6,38000,"San Diego, CA",81.1,78.8,83.4
7,37800,"San Francisco, CA",80.9,78.8,83
8,37700,"Santa Rosa, CA",80.8,79,82.6
9,19600,"Newark, NJ",80.7,78.2,83.2
10,7100,"Port St. Lucie, FL",80.7,78,83.3
11,20500,"Boston, MA",80.5,78.1,83
12,11304,"Washington DC, DC",80.5,78.1,82.8
13,7200,"Cape Coral, FL",80.4,77.8,83
14,20100,"Portland, ME",80.4,77.6,83.1
15,24300,"Chicago, IL",80.3,77.9,82.7
16,7400,"Orlando, FL",80.2,77.5,83
17,38801,"Portland, OR",80.1,77.7,82.6
18,20401,"Providence, RI",80.1,77.1,83.1
19,31600,"Brownsville, TX",80.1,77.5,82.7
20,37000,"Modesto, CA",80,78,82
21,9100,"Atlanta, GA",80,77.4,82.7
22,20800,"Springfield, MA",80,77.3,82.7
23,20901,"Bridgeport, CT",80,77.4,82.6
24,38901,"Eugene, OR",80,77.6,82.3
25,38601,"Spokane, WA",79.9,77.7,82.2
26,20600,"Manchester, NH",79.9,77.2,82.6
27,37200,"Fresno, CA",79.9,77.9,81.8
28,6900,"Sarasota, FL",79.8,77,82.7
29,31201,"Austin, TX",79.8,77.3,82.3
30,39400,"Seattle, WA",79.7,77.4,82.1
31,33100,"Dallas, TX",79.7,77.3,82
32,28900,"Denver, CO",79.7,77.3,82
33,19300,"Poughkeepsie, NY",79.6,77.1,82.2
34,35001,"Phoenix, AZ",79.6,77,82.2
35,21501,"Minneapolis, MN",79.6,77.4,81.8
36,1701,"Raleigh, NC",79.6,76.6,82.5
37,37400,"Sacramento, CA",79.5,77.5,81.5
38,35100,"Tucson, AZ",79.5,77,82.1
39,36100,"Salt Lake City, UT",79.5,76.8,82.2
40,15000,"Canton, OH",79.5,76.5,82.4
41,18000,"Buffalo, NY",79.4,76.6,82.3
42,11001,"Mobile, AL",79.4,75.9,82.8
43,19500,"Toms River, NJ",79.4,76.4,82.3
44,3300,"New Orleans, LA",79.4,76.3,82.5
45,8100,"Columbia, SC",79.3,76.2,82.5
46,3500,"Baton Rouge, LA",79.3,76,82.6
47,900,"Charlotte, NC",79.3,76.2,82.3
48,32000,"Houston, TX",79.2,76.7,81.8
49,500,"Greensboro, NC",79.2,76.1,82.4
50,17700,"Syracuse, NY",79.2,76.8,81.7
51,12200,"Grand Rapids, MI",79.2,76.6,81.8
52,16500,"Erie, PA",79.1,76.3,82
53,23100,"Madison, WI",79.1,76.8,81.4
54,30601,"El Paso, TX",79.1,76.4,81.7
55,16400,"Youngstown, OH",79.1,75.9,82.2
56,6800,"Lakeland, FL",79.1,76.3,81.9
57,10900,"Pensacola, FL",79,76.1,82
58,1400,"Fayetteville, NC",79,75.9,82.1
59,18600,"Albany, NY",79,76.2,81.7
60,16300,"Pittsburgh, PA",78.9,75.9,82
61,19000,"Allentown, PA",78.9,75.6,82.2
62,15200,"Cleveland, OH",78.9,76,81.8
63,37100,"Bakersfield, CA",78.9,76.7,81.1
64,19100,"Reading, PA",78.9,75.9,81.9
65,18800,"Scranton, PA",78.9,75.6,82.2
66,8300,"Greenville, SC",78.8,75.6,82.1
67,2400,"Richmond, VA",78.8,75.9,81.7
68,6700,"Tampa, FL",78.8,75.8,81.8
69,19200,"Harrisburg, PA",78.8,75.8,81.8
70,19700,"Philadelphia, PA",78.7,76.1,81.4
71,10700,"Birmingham, AL",78.7,75.5,81.9
72,7600,"Jacksonville, FL",78.7,75.5,81.8
73,2000,"Virginia Beach, VA",78.7,75.6,81.7
74,5202,"Memphis, TN",78.6,75.4,81.8
75,11302,"Baltimore, MD",78.6,75.6,81.6
76,24100,"Milwaukee, WI",78.6,75.7,81.4
77,33000,"Fort Worth, TX",78.5,75.8,81.2
78,28202,"Omaha, NE",78.4,75.7,81.1
79,29502,"Kansas City, MO",78.4,75.8,81
80,24701,"St. Louis, MO",78.4,75.5,81.2
81,5600,"Nashville, TN",78.4,75.4,81.4
82,24400,"Rockford, IL",78.3,75.6,81
83,34901,"Albuquerque, NM",78.3,75.5,81.1
84,302,"Knoxville, TN",78.3,75.1,81.4
85,13600,"South Bend, IN",78.2,75.2,81.1
86,15900,"Columbus, OH",78.2,75.4,80.9
87,27501,"Des Moines, IA",78.2,75.7,80.6
88,34701,"Honolulu, HI",78.2,76,80.3
89,12501,"Dayton, OH",78.1,75.1,81
90,4200,"Little Rock, AR",78,75.4,80.7
91,31301,"San Antonio, TX",78,75.2,80.8
92,13101,"Louisville, KY",77.9,74.9,80.9
93,13501,"Toledo, OH",77.9,74.9,80.8
94,12701,"Cincinnati, OH",77.9,75.2,80.5
95,11600,"Detroit, MI",77.7,74.8,80.5
96,30402,"Tulsa, OK",77.6,74.9,80.3
97,14200,"Indianapolis, IN",77.6,74.6,80.6
98,33803,"Oklahoma City, OK",77.6,75,80.2
99,37901,"Las Vegas, NV",77.6,75.1,80
100,14900,"Gary, IN",77.4,74.2,80.7
,,,,,
